TemperaturaHorno,TemperaturaMaterial,clase,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
726,674,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
722,668,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,670,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,654,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
720,666,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
716,664,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,666,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
715,662,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,660,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
710,658,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
705,654,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
700,650,buena,,
