VelocidadTroquelado,InspeccionVisual,FuerzaTroquelado
1.97,Buena,165.60299
2.88,Buena,160.7936
2.19,Buena,151.3358
1.56,Buena,156.04625
1.74,Buena,157.21065
1.81,Buena,151.80259
2.08,Buena,157.45505
2.91,Buena,144.69917
2.03,Buena,156.16087
2.85,Buena,155.97407
2.88,Buena,155.99398
2.51,Buena,149.66426
2.44,Buena,170.76649
1.92,Buena,151.37688
2.11,Buena,149.95706
2.07,Mala,155.11654
2.97,Buena,176.0574
1.73,Buena,153.58238
2.65,Buena,170.53832
2.79,Buena,164.86341
1.85,Mala,146.89887
1.92,Buena,159.49922
2.31,Buena,157.57845
2.35,Buena,154.12081
2.77,Buena,153.78072
2.21,Buena,157.22929
2.85,Buena,164.08688
2.77,Buena,156.76348
2.11,Buena,154.83017
2.06,Buena,155.52997
2.83,Buena,151.95213
2.22,Buena,157.1018
1.75,Buena,156.92255
2.04,Buena,164.39981
1.76,Buena,148.93898
2.17,Buena,165.55991
1.84,Buena,145.82291
2.95,Buena,157.38648
2.53,Buena,147.6026
2.14,Buena,160.40197
2.77,Buena,147.86334
2.77,Buena,164.88918
2.66,Buena,158.53476
1.93,Buena,172.32416
2.75,Buena,170.33606
2.73,Buena,160.51987
2.51,Buena,161.33993
2.03,Buena,166.90257
2.63,Buena,161.01746
1.8,Buena,152.03016
2.94,Buena,147.30191
1.83,Buena,158.52244
2.03,Buena,145.69719
2.76,Buena,146.16555
1.62,Buena,155.56045
2.36,Mala,147.306
2.81,Buena,161.9779
1.51,Buena,154.57495
2.19,Buena,149.30058
2.54,Buena,153.89832
2.33,Buena,164.10307
2.62,Buena,157.66583
1.73,Buena,154.43799
1.54,Buena,176.17684
2.12,Mala,165.94146
2.72,Buena,162.59035
1.98,Buena,162.97658
1.58,Buena,148.06101
2.04,Buena,162.04783
1.81,Buena,152.09949
2.59,Buena,150.50349
2.02,Buena,167.53291
2.68,Buena,169.81597
2.46,Buena,152.24016
1.82,Buena,159.49867
1.82,Buena,148.88634
2.77,Buena,159.66114
2.22,Buena,164.45684
2.98,Buena,164.7461
2.93,Buena,150.99035
2.57,Mala,157.99917
2.24,Buena,168.44677
2.55,Buena,148.40142
2.83,Buena,161.58223
2.87,Buena,148.45187
1.74,Buena,152.87792
2,Buena,178.11789
2.75,Buena,156.84161
1.61,Buena,157.403
2.01,Buena,162.09506
1.6,Buena,149.553
2.43,Buena,150.92327
2.29,Buena,162.42866
2.87,Buena,158.13563
2.15,Buena,160.39269
3,Buena,174.50548
2.87,Buena,163.73697
2.48,Buena,152.45992
3,Buena,157.31534
2.15,Buena,165.77959
2.41,Buena,148.84008
2.18,Buena,169.8775
2.89,Buena,161.79331
1.93,Buena,180.25744
2.51,Buena,158.08363
1.84,Buena,158.71035
2.49,Buena,151.15741
2.92,Buena,164.11405
1.67,Buena,168.85342
2.08,Mala,158.80506
2.44,Buena,140.49576
2.78,Buena,162.30307
2,Buena,156.08555
1.6,Buena,151.20169
2.89,Buena,141.85167
1.85,Buena,154.12108
2.38,Buena,170.35894
2.73,Buena,151.26361
2.29,Buena,163.63324
2.84,Buena,151.95743
2.26,Buena,160.16378
2.86,Buena,160.57073
2.95,Buena,169.14197
2.98,Buena,151.62465
3,Buena,165.38381
2.58,Buena,171.16384
2.65,Buena,156.0899
2.63,Buena,157.45317
2.2,Buena,149.6756
2.5,Buena,163.52109
2.4,Buena,153.61618
2.3,Buena,160.1631
2.11,Buena,158.73077
2.27,Buena,149.07513
2.3,Buena,166.69681
2.36,Buena,165.60671
1.66,Mala,157.0284
2.41,Buena,156.66521
2.87,Buena,138.3424
1.78,Mala,151.49954
2.93,Buena,168.38723
2.89,Buena,160.65609
2.46,Buena,170.29962
2.74,Buena,156.97938
2.11,Buena,152.80982
1.87,Buena,154.45624
2.15,Buena,163.42914
2.54,Buena,137.09246
2.83,Buena,152.67751
2.82,Buena,170.2996
1.52,Buena,154.3493
2.38,Buena,156.48666
2.95,Buena,157.50112
1.53,Buena,157.96156
1.69,Buena,160.21934
2.66,Mala,161.73887
3,Buena,149.06139
1.92,Buena,166.36683
2.14,Buena,146.8923
2.62,Buena,162.44858
1.7,Buena,147.90861
1.5,Buena,163.24742
1.71,Buena,152.02383
2.53,Buena,145.66972
2.21,Buena,143.88742
2.5,Buena,163.0147
1.85,Buena,164.24816
1.53,Buena,160.25816
1.51,Buena,143.14588
2.54,Buena,153.2825
2.03,Buena,160.53614
2.3,Buena,162.98717
1.74,Buena,165.80358
2.2,Buena,164.26125
1.81,Buena,158.85122
2.01,Buena,164.49882
2.75,Buena,155.84915
2.19,Buena,157.9148
1.92,Buena,162.95494
2.93,Buena,155.08497
2.16,Buena,153.76809
2.62,Buena,178.74307
2.96,Buena,152.67122
2.09,Buena,147.62051
2.55,Buena,156.087
2.65,Buena,159.00538
1.53,Buena,159.13262
2.37,Buena,164.03049
1.73,Buena,160.12377
1.7,Buena,144.34253
2.73,Mala,157.75459
2.17,Buena,148.29483
2.82,Buena,150.19512
2.26,Buena,154.99061
2.35,Buena,171.26585
2.47,Buena,174.28488
2.52,Buena,159.85448
1.64,Buena,153.49242
2.48,Buena,149.53739
2.75,Buena,148.59017
2.03,Buena,145.80172
2.64,Buena,156.46609
1.74,Buena,165.29569
2.84,Buena,154.94405
2.39,Buena,154.49183
2.39,Buena,154.89507
1.83,Buena,160.78338
2.78,Buena,159.39008
2,Buena,165.97617
1.98,Buena,140.93123
2.42,Buena,163.45375
2.66,Buena,157.25702
2.53,Buena,153.26046
1.76,Buena,157.75236
2.85,Buena,157.91984
2.24,Buena,152.16071
2.72,Buena,155.87204
2,Buena,150.8983
2.63,Buena,158.00953
1.6,Buena,151.89526
2.94,Buena,160.5014
2.56,Mala,151.04905
1.71,Mala,143.83923
1.81,Buena,151.90783
2.11,Buena,151.47136
1.7,Buena,164.21444
1.68,Buena,164.98399
2.26,Buena,149.26462
2,Buena,167.0957
2.89,Buena,149.72747
1.85,Buena,150.83631
2.17,Buena,164.38857
2.9,Buena,169.12395
2.2,Buena,173.61091
2.26,Buena,154.61745
2.47,Buena,165.24549
2.06,Buena,168.77149
2.14,Buena,151.97018
2.59,Buena,153.4968
2.73,Buena,158.61375
2.73,Buena,159.61884
1.84,Buena,137.94551
2.58,Buena,152.5687
2,Buena,158.73241
2.57,Buena,151.44024
2.67,Mala,156.41246
2.75,Buena,159.48154
2.68,Buena,148.96945
2.64,Mala,156.36783
2.68,Buena,161.38352
1.68,Buena,143.31656
2.34,Buena,157.64718
2.43,Buena,156.06781
2.65,Buena,167.51465
1.68,Buena,157.95219
2.81,Buena,159.93372
2.85,Mala,150.75976
2.38,Buena,143.80066
2.65,Buena,157.22838
2.96,Buena,152.98303
2.12,Buena,159.19608
2.72,Buena,159.47422
1.83,Buena,171.04731
2.16,Buena,169.40109
1.59,Buena,152.63602
1.86,Buena,165.62086
2.13,Buena,161.30549
2.09,Buena,148.72063
2.2,Buena,168.37734
1.89,Buena,162.03473
1.9,Buena,155.02538
2.89,Mala,143.60574
2.02,Buena,162.42475
2.48,Buena,155.34669
2.87,Buena,159.9235
2.1,Buena,162.72135
2.46,Buena,150.32492
2.74,Buena,156.11926
2.73,Buena,156.76696
2.97,Buena,166.24995
1.82,Buena,156.0126
2.71,Buena,163.41255
1.53,Buena,154.04566
1.78,Buena,153.75548
1.61,Buena,156.85094
2.99,Buena,161.90476
2.9,Buena,161.03962
2.27,Buena,155.85096
1.5,Buena,157.80554
2.29,Buena,152.33822
2.95,Buena,161.74402
3,Buena,153.23914
1.68,Buena,169.714
1.73,Buena,152.40172
1.88,Buena,161.93162
2.6,Buena,156.04305
2.23,Buena,154.92733
1.75,Buena,158.17714
2.3,Buena,149.84605
2.89,Buena,167.62084
2.13,Buena,156.84293
2.88,Buena,154.57212
1.86,Buena,158.78276
1.84,Buena,151.557
2.31,Buena,164.31648
2.06,Buena,163.9715
2.36,Buena,145.95267
2.32,Buena,151.79814
2.7,Buena,156.79153
2.52,Buena,145.43304
2.1,Buena,157.80223
1.54,Buena,161.05757
2.8,Buena,149.53211
1.83,Buena,169.3909
1.53,Buena,165.62855
1.94,Buena,156.53994
1.98,Buena,148.76535
2.86,Buena,154.99646
1.5,Buena,162.53789
2.87,Buena,165.89628
1.73,Buena,149.86146
2.04,Buena,145.7686
1.68,Buena,163.19238
2.46,Buena,157.71974
2.07,Buena,155.57963
2.4,Buena,159.6191
1.79,Buena,147.14137
2.65,Buena,161.22371
2.29,Buena,150.88052
2.41,Buena,158.16382
2.37,Buena,163.31194
1.59,Buena,165.66815
2.84,Buena,159.94473
2.08,Mala,151.17759
2.39,Buena,161.12399
2.47,Buena,161.24632
1.96,Buena,154.23368
2.2,Buena,157.38939
2.16,Buena,155.948
1.84,Buena,154.9725
2.82,Buena,155.97623
1.64,Buena,166.74652
2.11,Buena,146.9506
2.87,Buena,169.89145
2.95,Buena,164.00562
2.13,Buena,151.22553
2.66,Buena,140.01195
2.76,Buena,164.61501
2.25,Buena,152.4496
2.88,Buena,143.91466
2.05,Buena,162.22171
1.51,Buena,155.98434
1.77,Buena,153.35663
2,Buena,148.37626
2.16,Buena,158.39172
2.54,Buena,154.18503
2.95,Buena,166.97237
2.66,Buena,166.22066
2.22,Buena,153.85805
1.94,Buena,153.2033
2.28,Buena,145.90618
2.92,Mala,150.16525
2.32,Buena,160.21957
1.51,Buena,157.37571
2.5,Buena,149.25854
2.47,Buena,156.45228
2.21,Buena,157.36121
2.07,Buena,162.34699
2.45,Buena,154.38206
2.88,Buena,140.8843
1.92,Buena,159.59816
2.05,Buena,164.97277
2.66,Buena,142.57469
2.15,Buena,153.08239
2.55,Buena,163.37848
2.93,Buena,162.6403
1.85,Buena,165.1779
2.38,Buena,145.73815
2.23,Buena,172.74748
2.63,Mala,161.46923
2.13,Buena,161.42624
1.64,Buena,149.69004
1.58,Buena,165.37839
1.81,Buena,152.07656
1.59,Buena,160.21719
2.38,Buena,155.44042
2.2,Buena,169.04894
2.2,Buena,154.13634
2.8,Buena,149.95881
2.08,Buena,153.97213
2.02,Buena,175.91168
2.35,Buena,163.91305
2.05,Buena,154.43014
2.01,Buena,164.71393
1.53,Buena,163.15556
2.79,Buena,170.56908
1.92,Buena,150.26014
2.57,Buena,164.47035
2.11,Buena,162.65457
2.61,Buena,158.65623
2.72,Buena,164.37903
2.75,Buena,171.25586
1.82,Buena,164.96259
2.02,Buena,152.99453
2.36,Buena,169.71534
1.79,Buena,148.68508
2.9,Mala,165.72655
1.62,Mala,153.96612
2.64,Buena,150.88699
2.72,Buena,175.66751
2.39,Buena,156.22232
1.51,Buena,158.61943
2,Buena,180.35146
2.23,Buena,164.46774
2.2,Buena,155.55777
2.42,Buena,156.48973
2.94,Buena,154.98228
2.31,Buena,149.21439
1.56,Buena,164.47374
2.93,Buena,149.09633
2.99,Buena,167.80515
2.43,Mala,159.46115
2.5,Buena,159.75159
1.53,Buena,165.59709
2.91,Buena,174.92677
2.11,Buena,156.52532
2.91,Buena,158.72006
1.6,Buena,163.0005
2.66,Buena,143.4535
2.15,Buena,157.21424
1.81,Buena,166.02275
2.2,Buena,150.29204
2.89,Buena,150.27032
2.24,Buena,151.63721
1.99,Buena,172.80175
2.29,Buena,150.85057
1.51,Buena,173.19324
2.39,Buena,167.61156
2.45,Buena,166.61921
2.08,Buena,171.39138
1.68,Buena,140.38217
2.75,Buena,156.07452
2.03,Buena,146.26386
2.9,Buena,162.8463
2.04,Buena,157.89321
2.54,Buena,149.06894
2.29,Buena,164.27151
1.85,Buena,156.13958
1.56,Buena,143.00403
2.9,Buena,156.89398
1.53,Buena,147.06919
2.7,Buena,146.22245
1.7,Buena,155.4857
2.84,Buena,160.1476
2.24,Mala,158.26866
2.21,Buena,145.61729
3,Buena,156.52154
1.7,Buena,161.34855
1.68,Buena,154.26588
1.74,Buena,154.76741
2.19,Buena,169.85445
1.72,Buena,153.54638
1.65,Buena,171.05034
2.34,Buena,159.88744
2.36,Buena,156.23682
2.84,Buena,142.30251
2.23,Buena,152.60012
2.29,Buena,160.57373
1.73,Buena,160.8569
2.32,Buena,149.99524
1.63,Buena,141.54696
2.4,Buena,164.64307
2.54,Buena,146.23547
2.47,Mala,163.77155
1.83,Buena,171.64849
2.28,Buena,150.78914
2.39,Buena,153.89713
2.88,Buena,151.56568
2.88,Buena,150.44335
2.67,Buena,172.11494
1.7,Buena,152.83654
2.68,Buena,143.05463
1.53,Mala,171.509
2.7,Buena,165.79267
2.23,Buena,155.80391
2.03,Mala,163.06335
2.97,Buena,141.90298
2.97,Buena,142.84106
1.76,Buena,148.91346
2.06,Buena,156.7567
2.97,Buena,161.45781
2.12,Buena,140.13889
2.71,Buena,167.63872
2.47,Buena,156.8804
2.78,Buena,155.88264
1.64,Buena,151.1042
1.64,Buena,168.545
2.34,Buena,151.98793
2.71,Buena,156.98685
2.96,Buena,165.72701
1.79,Buena,147.34268
2.37,Buena,158.25992
1.96,Buena,154.13587
1.54,Buena,154.36103
2.45,Buena,161.88496
2.57,Buena,161.31505
1.5,Buena,154.43907
1.75,Buena,141.24853
1.91,Buena,149.56198
2.13,Buena,158.164
1.8,Buena,165.7505
1.95,Buena,159.32018
2.66,Buena,163.07995
2.12,Buena,146.54054
1.95,Buena,165.87346
1.5,Buena,155.2077
2.39,Buena,155.96368
2.91,Buena,165.27906
1.73,Buena,156.9673
2.02,Buena,153.03897
1.56,Buena,147.1045
1.64,Buena,156.26347
2.34,Buena,139.99392
2.69,Buena,162.71483
2.25,Buena,172.45425
2.24,Buena,170.01944
2.98,Buena,153.86725
2.41,Buena,153.36886
2.94,Buena,153.55688
2.08,Buena,166.61189
2.82,Buena,146.06597
2.41,Buena,162.94793
1.51,Mala,156.11886
2.24,Buena,153.67431
1.85,Buena,146.08961
2.06,Buena,145.18377
1.58,Buena,161.42008
1.54,Buena,143.68371
1.89,Buena,160.24207
1.76,Buena,160.82768
2.95,Buena,158.12699
2.34,Buena,156.43524
1.53,Buena,170.15693
2.92,Buena,150.61753
2.42,Buena,164.25007
1.57,Buena,164.09162
2.29,Buena,160.78303
2.71,Buena,159.58316
2.52,Buena,151.64479
1.64,Buena,165.94052
1.98,Mala,175.99353
2.31,Buena,156.51503
2.62,Buena,169.94273
2.77,Buena,162.00532
2.72,Buena,154.15677
2.7,Buena,163.29439
1.7,Buena,155.97786
1.54,Buena,149.14096
2.33,Buena,176.55343
2.38,Buena,152.8947
2.11,Buena,170.38036
2.19,Buena,155.71814
2.65,Buena,151.9851
2.31,Buena,155.81382
2.47,Buena,155.8502
2.91,Buena,158.05628
2.78,Buena,164.21711
1.94,Buena,165.24829
2.09,Buena,164.77568
1.72,Buena,155.86894
1.95,Buena,153.13886
2.36,Buena,162.04901
2.71,Buena,166.84947
2.28,Buena,145.18536
2.03,Buena,162.7007
2.56,Buena,147.26411
1.95,Buena,164.15086
2.7,Buena,163.61918
2.22,Buena,149.87942
1.82,Buena,157.54055
2.73,Buena,171.37811
2.68,Buena,150.98118
2.34,Buena,139.56692
2.73,Buena,153.25139
1.91,Buena,148.39409
2.45,Buena,155.25747
1.69,Buena,160.46586
2.76,Buena,146.8059
2.11,Buena,170.92392
2.01,Buena,164.74209
2.82,Buena,156.15666
2.14,Buena,145.60475
2.45,Buena,147.54668
2.34,Buena,159.545
2.11,Buena,151.27526
2.68,Buena,156.38626
1.55,Buena,157.99097
1.83,Buena,157.73718
1.67,Buena,147.22004
2.25,Buena,151.8475
2.51,Buena,163.65016
2,Buena,149.27319
1.85,Buena,165.57713
1.81,Buena,156.03068
2.71,Buena,168.23258
2.66,Buena,140.79174
2.76,Buena,151.74069
2.14,Buena,165.30416
2.45,Buena,155.78686
2.11,Buena,158.61147
2.71,Buena,157.42648
1.62,Buena,154.59204
2.28,Buena,144.49503
2.87,Buena,153.72684
2.55,Buena,165.91954
2.17,Buena,162.43004
1.62,Buena,151.36338
2.52,Mala,156.9052
2.42,Buena,158.24814
2.49,Buena,157.13719
2.13,Buena,180.54516
1.62,Mala,151.22816
2.58,Buena,151.22322
2.16,Buena,165.19285
1.76,Buena,163.28967
2.49,Buena,151.38111
2.15,Buena,152.40194
2.16,Buena,166.29588
2.28,Buena,154.87076
1.89,Buena,148.75096
1.78,Buena,168.70828
2.32,Buena,163.37306
1.6,Buena,155.50164
2.34,Buena,154.22439
2.72,Buena,154.42893
1.67,Buena,157.36328
2.04,Buena,164.19611
2.83,Buena,168.59091
2.09,Buena,156.07046
2,Buena,154.40698
2.65,Buena,154.48904
1.91,Mala,165.5509
2.64,Buena,163.91091
2.78,Buena,152.9346
1.91,Buena,134.38949
2.37,Mala,153.15788
2.23,Buena,155.16922
2.36,Buena,164.04422
1.59,Buena,141.71328
2.16,Buena,154.12325
2.59,Buena,156.11157
1.51,Buena,175.04559
2.98,Buena,161.01408
2.93,Buena,169.68559
2.98,Buena,151.58444
2.5,Buena,144.40237
1.8,Buena,161.23511
2.28,Buena,162.86317
1.82,Buena,162.67302
2.76,Buena,150.75338
2.02,Buena,148.58047
2.14,Buena,147.14512
2.72,Buena,149.90023
1.87,Buena,152.22934
2.74,Buena,163.38611
2.58,Buena,166.60679
1.57,Buena,149.5562
1.72,Buena,163.30641
2.96,Buena,173.92104
2.02,Mala,158.36549
2.33,Buena,154.50328
2.86,Buena,155.36768
1.99,Buena,155.78909
2.8,Buena,156.00848
2.15,Buena,147.04191
1.75,Buena,159.86106
1.52,Mala,163.26845
2.2,Buena,154.29108
2.64,Buena,154.19834
2.57,Buena,165.12588
1.99,Buena,150.39879
2.71,Buena,155.26963
2.64,Buena,156.23517
1.81,Buena,156.86055
1.52,Buena,157.71745
2.67,Buena,159.98642
2.42,Buena,150.57512
2.51,Buena,157.50403
2.36,Buena,158.93407
2.16,Buena,168.90277
2.63,Buena,161.29113
2.62,Buena,154.10809
1.88,Buena,165.78703
1.9,Buena,147.83295
2.67,Buena,155.48698
1.96,Buena,163.97342
1.58,Buena,147.64746
1.58,Buena,156.21313
2.67,Buena,159.64336
1.66,Buena,165.28737
2.96,Buena,154.49733
2.27,Buena,157.51811
2.41,Buena,153.53891
2.66,Buena,149.1075
2.31,Buena,153.32904
2.57,Mala,145.51801
2.35,Buena,156.90072
1.85,Buena,160.6022
2.22,Buena,170.75624
2.96,Buena,153.55818
2.93,Mala,141.53904
2.41,Buena,158.12266
2.22,Buena,148.66207
2.16,Buena,164.75885
2.84,Buena,164.91716
2.26,Buena,157.12238
1.81,Buena,151.60451
2.78,Buena,152.98668
1.98,Buena,155.79154
1.56,Buena,155.40845
1.77,Buena,151.06283
1.87,Buena,141.29902
2.02,Buena,156.45788
2.01,Buena,156.48648
2.19,Buena,160.93674
2.14,Buena,151.77971
1.99,Buena,153.42462
2.47,Buena,162.25232
2.11,Buena,155.15212
2.19,Buena,153.56694
2.6,Buena,155.47013
2.29,Mala,152.49191
2.51,Buena,150.63457
2.76,Buena,158.60751
1.87,Buena,155.64129
2.34,Buena,159.73935
2.58,Buena,150.99314
2.15,Buena,171.77887
2.4,Buena,153.07624
2.5,Buena,147.78853
1.51,Buena,156.69534
2.17,Mala,155.19136
2.58,Buena,157.6889
2.7,Buena,158.83408
1.83,Buena,158.42937
2.24,Buena,151.4794
2.87,Buena,158.81569
1.84,Buena,169.25618
2.05,Buena,153.6213
2.25,Buena,159.50895
2.16,Buena,148.20804
2.23,Buena,151.98839
1.69,Buena,159.70954
1.5,Buena,154.25986
1.55,Buena,152.43454
2.19,Buena,171.44331
2.23,Buena,170.32088
2.43,Buena,154.68285
2.62,Buena,163.08535
2.04,Buena,161.56883
2.08,Buena,143.68868
1.62,Buena,166.72921
2.4,Buena,157.08127
2.34,Buena,162.30093
2.95,Buena,148.84737
1.6,Buena,160.64132
2.67,Buena,160.86791
2.45,Buena,148.73371
1.59,Buena,157.0221
2.23,Buena,171.42858
1.54,Buena,162.95212
2.4,Buena,150.80165
2.84,Buena,154.51309
2.87,Buena,150.96628
2.03,Buena,144.50432
2.61,Buena,137.37942
2.5,Mala,165.20119
2.68,Buena,160.27075
2.33,Buena,155.90345
2.25,Buena,160.15727
1.77,Buena,170.72912
2.52,Buena,159.88337
1.95,Buena,159.4101
2.15,Buena,156.16337
